id,roastery_id,owner_id,name,description,address,latitude,longitude,phone_number,category,thumbnail_url,open_time,close_time
1,1,,맨홀커피,"맨홀커피는 맨홀뚜껑을 열고 지하 세계로 들어오면 새로운 세계가 펼쳐진다는 의미로 어딘가 신비로운 느낌의 계단을 두번 꺾어 내려오면 초록색 문이 등장합니다. 문을 열고 들어오면 18-19세기의 영국감성의 가정집을 모티브로 한 공간을 만나 볼 수 있습니다.

흑백티비와 더불어 바는 부엌, 샹들리에 아래는 밥을 먹는 장소, 벽난로와 서재로 인테리어 된 곳 입니다.

맨홀커피는 아늑한 분위기와 아름다운 공간과 더불어 최상의 스페셜티 커피를 제공합니다.

다시 초록색 문을 열고 나가면 여러분은 다시 현실세계로 돌아갈 수 있습니다.

또한 곳곳에 숨겨져 있는 맨홀커피의 7이라는 시그니쳐 표식을 찾는 것은 여러분께 또다른 재미있는 요소가 될 것입니다.

이 영화같은 공간에서의 주인공은 바로 당신입니다.",서울 영등포구 영신로 247 B동상가 지하1층,37.5292718,126.903915,0507-1322-9427,"카페,디저트",,,
2,1,,커피원,인스타그램을 통해 신메뉴 및 이벤트 안내를 하고 있습니다. 링크된 인스타그램을 팔로우해주시면 좋아요^^,서울 종로구 새문안로3길 12 지하1층 20호,37.571309,126.9729085,,"카페,디저트",,,
3,1,,스페셜티 스튜디오,"문래동 속 작은 도쿄, '스페셜티 스튜디오' 카페

도쿄의 따뜻한 하루를 닮은 커피 한 잔.

직접 로스팅한 원두와 드립커피로 한 잔 한 잔 정성을 담아내요.
고소한 우유 아이스크림과 수제 당고까지 곁들이면 도쿄의 어느 오후처럼, 조용하고 따뜻한 순간이 찾아 옵니다.

커피를 좋아하는 이들이 모이는 곳, 스페셜티 스튜디오 문래점입니다.

<매장에 대한 보충 안내>
저희가 개인적으로 소장하고 있던 지브리 소품들을 손님들과 공감하는 차원에서 매장에서 사용 했었습니다. 하지만 지브리측에서 매장내 관련 소품을 철수하고 관련 사진을 내려달라는 요청이 있어서 소품을 정리하고 네이버 공간 자체를 다시 리셋하게 되었습니다. 손님분들과 저희의 추억이 사라지기는 했지만 다시 새롭고 행복한 추억을 쌓아가길 희망합니다. 함께 해 주시면 너무너무 감사하겠습니다. 더 많은 노력 하겠습니다.^^",서울 영등포구 도림로139길 4 1층(문래동2가),37.5144169,126.8933862,0507-1471-0331,"카페,디저트",,,
4,1,,카페카티지,건강한 커피 건강한 디저트를 만드는 카페카티지입니다.,서울 서대문구 가재울미래로 2 디엠씨파크뷰자이 5단지상가 501동 102호,37.5722723,126.9143408,0507-1483-1164,"카페,디저트",,,
5,1,,댓커피,"개성만점 댓커피만의 음료, 디저트를 즐겨보세요.

The Korea Times 2018.November
Maison marie claire 2019.January
ELLE 2019.March
월간커피 2019.April",서울 마포구 백범로1길 60,37.5554467,126.9398794,0507-1356-7188,"카페,디저트",,,
6,1,,액션커피,"액션커피는 흑석동 중앙대학교 근처에 위치한 핸드드립 스페셜티 커피 전문점입니다.
매달 주제를 정해 선별한 싱글오리진 커피를 소개하며, 고급 드립백도 함께 판매하고 있어요.
Panama Geisha부터 에티오피아 내추럴까지, 생두의 본질을 담아 정성껏 내려드립니다.

조용하고 감각적인 공간에서 진짜 커피를 마시고 싶은 분들을 위한 핸드드립 바.
시그니처 궁시리즈 블렌딩도 직접 구성하며, 커피와 어울리는 굿즈와 도자기잔도 선보입니다.",서울 동작구 서달로15길 23 액션커피,37.5084889,126.9616522,0507-1493-0610,"카페,디저트",,,
7,1,,로우키,,서울 성동구 송정6길 5,37.5494383,127.0652142,,"카페,디저트",,,
8,1,,로우베어,"핸드 드립 전문점 로우베어는
엄격한 기준을 통해 선별한 8종 원두를 골라매일 매일 특별한 커피를 드리는 공릉 경춘선 숲길 수제 케이크 카페 카페입니다.

전면 유리통창으로 이루어져 내다보이는 풍경과 마음 차분해지는 음악으로 감성을 자극하여 커피와 분위기에 집중 할 수 있는 로우베어

경춘선 숲길의 풍경과 따뜻함이 공존하는 모던함이 어우러져 방문하는 모든 고객분들이
편안하게 핸드드립 커피를 즐기시며
따스한 하루가 되길 바랍니다

인스타 @rawbear_official을 통해 최신 매장 정보를 확인하세요 : )",서울 노원구 동일로186길 76 1층 101호,37.6254194,127.0772082,0507-1404-8577,"카페,디저트",,,
9,1,,리플렉트커피 로스팅 랩,"reflect :비추다, 반영하다, 반사하다, 나타내다

커피와 음료 공간에 우리의 가치관을 반영하였습니다.
저희는 기본 원재료에 집중하며 합리적 소비를 지향합니다.
품질 좋은 원재료를 잘 가공하여 원재료 본연의 맛을 전달 드리겠습니다.

다양한 산지별 스페셜티커피를 취향에 맞게 큐레이션 해드립니다.
맛있는 커피로 기억될 수 있도록 준비하겠습니다.

르꼬르동 출신의 파티쉐가 만드는 완성도 높은 디저트를 만듭니다. 좋은 재료는 분명한 맛의 차이가 크다고 생각해 유기농 밀가루, 이태리 버터, 벨기에 초콜릿, 동물복지 계란 등 프리미엄 원재료를 사용합니다. 메인 디저트는 쁘띠갸또와 크럼블이며 치즈케이크와 브라우니 등 시즌에 맞는 커피와 페어링 가능한 디저트 군이 준비되어있습니다.",서울 서초구 남부순환로347길 53 1층,37.4867162,127.0308995,0507-1333-4019,카페,,,
10,1,,티피에스커피,"분위기 좋은 스페셜티 커피 전문 로스터리 TPS COFFEE는 낙성대역 1번출구 도보 3분 거리 인헌시장 입구에 자리한, 직접 로스팅한 스페셜티 커피 본연의 향미를 정성껏 전하는 공간입니다.

5층 Coffee Roasters TPS에서 매일 신선하게 로스팅한 스페셜티 커피는 이력 추적이 가능하며, 품질과 지속가능성을 중요하게 생각하는 큐그레이더 크루가 직접 선별하고 관리합니다.
4층 카페 공간에서 핸드드립을 비롯한 다양한 브루잉 방식으로 다양한 스페셜커피를 만나보실 수 있습니다.

수제 디저트 카페로서도 TPS COFFEE는 매장에서 직접 만든 신선한 과일청 음료와 매일 구워내는 디저트와 수제 샌드위치를 함께 제공합니다. 인공 향료 없이 재료 본연의 맛을 살린 정직한 레시피로, 30~40대 고객님들께서 특히 많이 찾고 계십니다.

모임 하기 좋은 카페, 프라이빗 커피 클래스 공간으로도 운영 중인 TPS COFFEE는 커피의 즐거움을 혼자서도, 함께여도 온전히 느낄 수 있는 여유로운 공간을 지향합니다.분위기 좋은 카페, 조용한 카페, 작업하기 좋은 카페, 공부하기 좋은 카페, 브런치 카페로 추천 드립니다.

또한 CQI 국제공인 큐그레이더, CCAK 커피품질관리사 등 국내외 자격을 갖춘 크루가 고품질 커피를 선별하며, GCS 바리스타 교육센터 및 Cuppers of Korea 인증 교육도 함께 운영 중입니다. 커피 클래스 아카데미를 통해 커피를 배우고 싶으신 분들에게도 TPS COFFEE는 좋은 시작이 되어드립니다.

TPS COFFEE는 화려하진 않지만, 정직하고 깊이 있는 커피와 디저트로 오랜 시간 함께할 수 있는 공간을 만들어가고 있습니다.
로스팅 원두커피 맛집 카페를 찾고 계시다면, TPS COFFEE에서 스페셜티 커피의 새로운 경험을 만나보세요.",서울 관악구 봉천로 616 4층,37.4754416,126.9655025,0507-1322-1885,"카페,디저트",,,
